Song Name,Weather,Activity,Mood
Two Door Cinema Club - Undercover Martyn.mp3,Sunny,Gym/Motivational,Excited
Young the Giant - My Body.mp3,Sunny,Gym/Motivational,Excited
Snow Patrol - Called out in the dark.mp3,Sunny,Gym/Motivational,Excited
Passion Pit - Dreams.mp3,Sunny,Gym/Motivational,Excited
M83 - Midnight City.mp3,Sunny,Gym/Motivational,Excited
Grouplove - Shark Attack.mp3,Sunny,Gym/Motivational,Excited
Foster the people - Houdini.mp3,Sunny,Gym/Motivational,Excited
Tiesto - Wasted.mp3,Sunny,Gym/Motivational,Excited
Sufjan Stevens - The Dress Looks Nice On You.mp3,rainy,Meditation,Sad
Kygo - For What Its Worth.mp3,Cold,Meditation,Sad
Hozier - In a Week.mp3,rainy,Meditation,Sad
Lucy Rose - Shiver.mp3,rainy,Meditation,Sad
Roo Panes - I'll Move Mountains.mp3,rainy,Meditation,Excited
RY X - Berlin.mp3,rainy,Meditation,Sad
"High Highs - London, After The Rain.mp3",rainy,Meditation,Sad
Klyne - Water Flow.mp3,Cold,Meditation,Sad
RAC - We Belong.mp3,Cold,Meditation,Sad
Ke$ha - Die Young.mp3,sunny,party,excited
Ke$ha - TiK ToK.mp3,sunny,party,excited
Lady Gaga - Just Dance.mp3,sunny,party,excited
Lady Gaga - Poker Face.mp3,sunny,party,excited
Party Rock Anthem - LMFAO.mp3,sunny,party,excited
Rihanna - Don't Stop The Music.mp3,sunny,party,excited
Taio Cruz - Break Your Heart.mp3,sunny,party,excited
Taio Cruz - Dynamite.mp3,sunny,party,excited
The Wanted - Glad You Came.mp3,sunny,party,excited
50 Cent - In Da Club.mp3,sunny,party,excited
ABBA - Dancing Queen.mp3,sunny,party,excited
B-52 - Love Shack.mp3,sunny,party,excited
Beastie Boys - Fight For Your Right.mp3,sunny,party,excited
Blondie - Heart Of Glass.mp3,sunny,party,excited
Britney Spears - Toxic.mp3,sunny,party,excited
Danza Kuduro - Don Omar.mp3,sunny,party,excited
Deee Lite - Groove is in the Heart.mp3,sunny,party,excited
Def Leppard - Pour Some Sugar On Me.mp3,sunny,party,excited
Ginuwine - Pony.mp3,sunny,party,excited
Iggy Azalea - Black Widow.mp3,sunny,party,excited
Justin Timberlake - Rock Your Body.mp3,sunny,party,excited
Justin Timberlake - SexyBack.mp3,sunny,party,excited
Kanye West - Gold Digger.mp3,sunny,party,excited
Ke$ha - TiK ToK.mp3,sunny,party,excited
Lady Gaga - Just Dance.mp3,sunny,party,excited
Lil Jon - Get Low.mp3,sunny,party,excited
Mary J. Blige - Family Affair.mp3,sunny,party,excited
Missy Elliott - Get Ur Freak On.mp3,sunny,party,excited
Nelly - Hot in Herre.mp3,sunny,party,excited
Nelly - Ride Wit Me.mp3,sunny,party,excited
Nelly Furtado - Promiscuous.mp3,sunny,party,excited
OutKast - Ms. Jackson.mp3,sunny,party,excited
P!nk - Get The Party Started.mp3,sunny,party,excited
Quad City Dj's - C'Mon 'N Ride It.mp3,sunny,party,excited
R. Kelly - Ignition.mp3,sunny,party,excited
Rick James - Super Freak.mp3,sunny,party,excited
Right Said Fred - I'm Too Sexy.mp3,sunny,party,excited
Rihanna - Umbrella.mp3,sunny,party,excited
Sean Paul - Temperature.mp3,sunny,party,excited
Shakira - Hips Don't Lie.mp3,sunny,party,excited
Surfaris - Wipe Out.mp3,sunny,party,excited
Sweet Caroline (Good Times Never Seemed So Good).mp3,sunny,party,excited
TAG TEAM - WHOOMP THERE IT IS.mp3,sunny,party,excited
The Black Eyed Peas - I Gotta Feeling.mp3,sunny,party,excited
The Cha Cha Slide - Dj Casper.mp3,sunny,party,excited
The Pussycat Dolls - Don't Cha.mp3,sunny,party,excited
The Troggs - Wild Thing.mp3,sunny,party,excited
The True Lyrics to Louie Louie.mp3,sunny,party,excited
Timbaland - The Way I Are.mp3,sunny,party,excited
Tommy James & the Shondells - Mony Mony.mp3,sunny,party,excited
Usher - Yeah!.mp3,sunny,party,excited
Village People - YMCA.mp3,sunny,party,excited
Will Smith - Miami.mp3,sunny,party,excited
Grouplove - Lovely Cup.mp3,Sunny,Party,Excited
Grouplove - Naked Kids.mp3,Sunny,Party,Excited
Vampire Weekend - Diane Young.mp3,Sunny,Party,Excited
Adele - Hello.mp3,rainy,relaxation,sad
Adele - When We Were Young.mp3,rainy,relaxation,excited
Alessia Cara - How Far Ill Go.mp3,sunny,relaxation,excited
Calum Scott - Dancing On My Own.mp3,rainy,relaxation,sad
Cam - Burning House.mp3,rainy,relaxation,sad
Charlie Puth - One Call Away.mp3,sunny,relaxation,excited
Charlie Puth - We Dont Talk Anymore.mp3,sunny,relaxation,excited
Ed Sheeran - Castle On The Hill.mp3,snowy,relaxation,sad
Ed Sheeran - Shape of You.mp3,sunny,relaxation,excited
Ed Sheeran - Thinking Out Loud.mp3,rainy,relaxation,sad
James Arthur - Say You Wont Let Go.mp3,rainy,relaxation,sad
Joel Adams - Please Dont Go.mp3,snowy,relaxation,sad
John Mayer - Love On The Weekend.mp3,rainy,relaxation,sad
Justin Bieber - Sorry.mp3,sunny,relaxation,sad
Kings Of Leon - WALLS.mp3,rainy,relaxation,sad
Lifehouse - You And Me.mp3,snowy,relaxation,sad
LP - Lost On You.mp3,snowy,relaxation,sad
Lukas Graham - 7 Years,rainy,relaxation,sad
Niall Horan - This Town.mp3,rainy,relaxation,sad
Ruth B - Lost Boy.mp3,rainy,relaxation,sad
Shawn Mendes - Treat You Better.mp3,rainy,relaxation,excited
Shawn Mendes - Stitches.mp3,rainy,relaxation,sad
Sia - Unstoppable.mp3,snowy,relaxation,excited
SOLANGE - CRANES IN THE SKY,rainy,relaxation,excited
The Lumineers - Ophelia.mp3,snowy,relaxation,excited
ZAYN - I Don’t Wanna Live.mp3,rainy,relaxation,sad
Red Hot Chili Peppers - Dosed.mp3,sunny,relaxation,sad
Harry Nilsson - Without You.mp3,sunny,relaxation,sad
Journey - Faithfully.mp3,sunny,relaxation,sad
Muse - Unintended.mp3,sunny,relaxation,sad
Pink Floyd - Wish You Were Here.mp3,sunny,relaxation,sad
Sade - By Your Side.mp3,sunny,relaxation,sad
Rain At Night - Oh So Quiet.mp3,rainy,relaxation,Sad
Iron & Wine - Each Coming Night.mp3,rainy,relaxation,Sad
J. Tillman - Love No less worthy.mp3,rainy,relaxation,Sad
Band of Horses - No One's gonna love you.mp3,rainy,relaxation,Sad
Jeff Buckley - Morning Theft.mp3,rainy,relaxation,Sad
Phosphorecent - Song for Zula.mp3,rainy,relaxation,Sad
 James Bay - Let It Go.mp3,rainy,relaxation,Sad
"Jack Johnson - Sitting, Waiting, Wishing.mp3",Sunny,relaxation,Excited
Vampire Weekend - Cape Cod Kwassa Kwassa.mp3,Sunny,relaxation,Excited
John Mayer - Queen of California.mp3,Sunny,relaxation,Excited
Lana Del Rey - West Coast.mp3,Sunny,relaxation,Excited
Jack Johnson - Upside Down.mp3,Sunny,relaxation,Excited
The Weeknd - Often.mp3,Cold,relaxation,Sad
The xx - On Hold.mp3,Cold,relaxation,Sad
Wingtip - Rewind.mp3,Cold,relaxation,Sad
Kita Alexander - Plain Sight.mp3,Cold,relaxation,Sad
Kygo - Raging.mp3,Cold,relaxation,Sad
Niykee Heaton - Bad Intentions.mp3,Cold,relaxation,Excited
Massive Attack - Teardrop.mp3,Cold,relaxation,Sad
The Weeknd - I feel it coming.mp3,Cold,relaxation,Sad
Theia - Roam.mp3,Cold,relaxation,Sad
Marissa Nadler - Leave the Light On.mp3,rainy,relaxation,Sad
Carly Rae Jepsen - Call Me Maybe.mp3,sunny,relaxation,excited
Fun. - We Are Young.mp3,sunny,relaxation,excited
Journey - Don't Stop Believin'.mp3,sunny,relaxation,excited
Katy Perry - California Gurls.mp3,sunny,relaxation,excited
3 Doors Down - Here Without You.mp3,rainy,relaxation,sad
ABBA - The Winner Takes It All.mp3,rainy,relaxation,sad
blink-182 - I Miss You.mp3,rainy,relaxation,sad
Coldplay - Fix You.mp3,sunny,relaxation,sad
Coldplay - The Scientist.mp3,sunny,relaxation,sad
Timbaland - Apologize.mp3,sunny,relaxation,sad
Reflections - Misterwives,Sunny,Walking/Running,Excited
Aaron Smith - Dancin.mp3,snowy,study,excited
Asaf Avidan - One day Reckoning Song.mp3,rainy,study,excited
Daft Punk - Giorgio by Moroder.mp3,rainy,study,excited
Daft Punk - Within.mp3,snowy,study,sad
Ed Sheeran - I See Fire.mp3,rainy,study,sad
Ed Sheeran - Thinking Out Loud.mp3,snowy,study,sad
Ed Sheeran - No Diggity vs. Thrift Shop.mp3,rainy,study,sad
Ella Eyre - We Don't Have To Take Our Clothes Off.mp3,rainy,study,excited
Felix Jaehn - Ain't Nobody.mp3,snowy,study,excited
George Ezra - Budapest.mp3,snowy,study,excited
John Legend - All Of Me.mp3,rainy,study,sad
Justin Timberlake - Suit & Tie.mp3,sunny,study,excited
Klingande - Jubel.mp3,sunny,study,excited
Macklemore - Same Love.mp3,rainy,study,sad
Mark Ronson - Uptown Funk.mp3,sunny,study,excited
Olly Murs - Wrapped Up.mp3,sunny,study,excited
OneRepublic - Counting Stars.mp3,snowy,study,excited
Smash Mouth - All Star.mp3,sunny,study,excited
One Direction - Steal My Girl.mp3,rainy,study,sad
Taylor Swift - Blank Space.mp3,sunny,study,excited
The Fray - You Found Me.mp3,sunny,study,excited
Tom Odell - Another Love.mp3,rainy,study,sad
Tracy Chapman - Fast Car.mp3,snowy,study,excited
Vance Joy - Riptide.mp3,snowy,study,excited
Victoria Magda - Pumped Up Kicks.mp3,sunny,study,excited
Rihanna - Disturbia.mp3,sunny,study,excited
Bastille - Oblivion.mp3,sunny,study,sad
Birdy - People Help The People.mp3,sunny,study,sad
Sia - Breathe Me.mp3,sunny,study,sad
Death Cab For Cutie - Transatlanticism.mp3,sunny,study,sad
Ed Sheeran - Lego House.mp3,sunny,study,sad
Ed Sheeran - The A Team.mp3,sunny,study,sad
Greg Holden -  Boys in the Street.mp3,sunny,study,sad
John Lennon - Imagine.mp3,rainy,study,sad
Red Hot Chili Peppers - Otherside.mp3,rainy,study,sad
Red Hot Chili Peppers - The Zephyr Song.mp3,sunny,study,sad
Sam Smith - I'm Not The Only One.mp3,sunny,study,sad
Sam Smith - Lay Me Down.mp3,sunny,study,sad
Sam Smith - Stay With Me.mp3,sunny,study,sad
Bon Iver - Holoscene.mp3,rainy,study,Sad
Billie Marten - Heavy Weather.mp3,rainy,study,Sad
Villagers - Nothing Arrived.mp3,rainy,study,Sad
Fionn Regan - Meetings of the Waters.mp3,rainy,study,Sad
The National - I Need My Girl.mp3,rainy,study,Sad
Adele - Hello.mp3,rainy,study,Sad
Laura Marling - Take the night off.mp3,rainy,study,Sad
Sin Fang - Look at the Light.mp3,rainy,study,Excited
The Suitcase Junket - The Rain.mp3,rainy,study,Sad
Bright Eyes - First Day of My Life.mp3,Sunny,study,Excited
Ella Vos - White Noise.mp3,Cold,study,Sad
Rihanna - Love on the brain.mp3,Cold,study,Sad
Ruth B - Lost Boy.mp3,Cold,study,Sad
Kiiara - Feels.mp3,Cold,study,Sad
The Weeknd - The Morning.mp3,Cold,study,Sad
Daughter - Smother.mp3,rainy,study,Sad
The Staves - Mexico.mp3,rainy,study,Sad
Jesse Hale Moore  - Calling You Out.mp3,rainy,study,Sad
Jack Johnson - Better Together.mp3,Sunny,walking/running,Excited
John Mayer - Wildfire.mp3,Sunny,walking/running,Excited
Walk the moon - Tightrope.mp3,Sunny,walking/running,Excited
David Guetta - Titanium.mp3,sunny,walking/running,excited
Ellie Goulding - Burn.mp3,sunny,walking/running,excited
Gwen Stefani - Hollaback Girl.mp3,sunny,walking/running,excited
OutKast - Hey Ya!.mp3,sunny,walking/running,excited
P!nk - So What.mp3,sunny,walking/running,excited
Vampire Weekend - Horchata.mp3,Sunny,Walking/Running,Excited
Calvin Harris - Slide.mp3,Sunny,Walking/Running,Excited
Bruno Mars - Uptown Funk.mp3,Sunny,Walking/Running,Excited
Survivor - Eye of the tiger.mp3,Sunny,Walking/Running,Excited
Justin Timberlake - Can't stop the feeling.mp3,Sunny,Walking/Running,Excited
Alan Walker - Alone.mp3,Cold,Walking/Running,Excited
Walk the moon - Work this body.mp3,Sunny,Walking/Running,Excited
Mr. Probz - Till You're Loved.mp3,Rainy,Walking/Running,Sad
KONGOS - Come With Me Now.mp3,Rainy,Walking/Running,Excited
 Jain - Come.mp3,Sunny,Walking/Running,Excited
The Strokes - Under Cover of Darkness.mp3,Sunny,Walking/Running,Excited
 Lost Frequencies - All or Nothing.mp3,Cold,Walking/Running,Sad
Life of Dillon - Rocks.mp3,Sunny,Walking/Running,Excited
Kings of Leon - Sex on Fire.mp3,Sunny,Walking/Running,Excited
 Olly Murs - Troublemaker.mp3,Sunny,Walking/Running,Excited
Deorro - Goin Up.mp3,Cold,Walking/Running,Excited
Calvin Harris - My Way.mp3,Sunny,Walking/Running,Excited
 Galantis - Runaway.mp3,Rainy,Walking/Running,Sad
 Robbie Williams - Rock DJ.mp3,Sunny,Walking/Running,Excited
 Isle of Skye - Jupiter.mp3,Cold,Walking/Running,Sad
Craig David - Ain't Giving Up.mp3,Cold,Walking/Running,Excited
Meghan Trainer - Me Too.mp3,Sunny,Walking/Running,Excited
San Holo - Light.mp3,Sunny,Walking/Running,Sad
Kelly Clarkson - Stronger.mp3,Sunny,Walking/Running,Excited
Steve Aoki - Just Hold On.mp3 ,Cold,Walking/Running,Excited
Train - Drive By.mp3,Sunny,Walking/Running,Excited
2 Chainz We Own It ft. Wiz Khalifa.mp3,sunny,Gym/Motivational,excited
50 Cent - Get Up.mp3,sunny,Gym/Motivational,excited
Alessia Cara - Wild Things.mp3,rainy,Gym/Motivational,excited
Bruno Mars - 24K Magic.mp3,sunny,Gym/Motivational,excited
Calvin Harris - This Is What You Came For.mp3,sunny,Gym/Motivational,excited
David Guetta ft. Zara Larsson - This Ones For You.mp3,sunny,Gym/Motivational,excited
DJ Snake - Let Me Love You.mp3,sunny,Gym/Motivational,excited
EMINEM - lose yourself.mp3,sunny,Gym/Motivational,excited
Eminem - Till I Collapse.mp3,sunny,Gym/Motivational,excited
Eminem - You Dont Know.mp3,sunny,Gym/Motivational,excited
Imagine Dragons - Radioactive.mp3,rainy,Gym/Motivational,excited
Kanye West - POWER.mp3,sunny,Gym/Motivational,excited
Knife Party - Bonfire.mp3,sunny,Gym/Motivational,excited
Major Lazer - Light It Up.mp3,sunny,Gym/Motivational,excited
One Direction - Drag Me Down.mp3,sunny,Gym/Motivational,excited
Rachel Platten - Fight Song.mp3,rainy,Gym/Motivational,excited
Fort Minor - Red to Black.mp3,sunny,Gym/Motivational,excited
Fort Minor - Remember The Name.mp3,sunny,Gym/Motivational,excited
SAIL - AWOLNATION.mp3,sunny,Gym/Motivational,excited
Sia - The Greatest.mp3,sunny,Gym/Motivational,excited
The Chainsmokers - Closer.mp3,rainy,Gym/Motivational,excited
The Chainsmokers - Setting Fires.mp3,sunny,Gym/Motivational,excited
The Weeknd - Starboy.mp3,rainy,Gym/Motivational,excited
Tiësto - On My Way.mp3,sunny,Gym/Motivational,excited
