song_id,name,activity_type
428,Right Said Fred - I'm Too Sexy.mp3,party
431,Shakira - Hips Don't Lie.mp3,party
432,Surfaris - Wipe Out.mp3,party
433,Sweet Caroline (Good Times Never Seemed So Good).mp3,party
434,TAG TEAM - WHOOMP THERE IT IS.mp3,party
435,The Black Eyed Peas - I Gotta Feeling.mp3,party
436,The Cha Cha Slide - Dj Casper.mp3,party
437,The Pussycat Dolls - Don't Cha.mp3,party
440,Timbaland - The Way I Are.mp3,party
441,Tommy James & the Shondells - Mony Mony.mp3,party
442,Usher - Yeah!.mp3,party
443,Village People - YMCA.mp3,party
445,Grouplove - Lovely Cup.mp3,party
446,Grouplove - Naked Kids.mp3,party
447,Vampire Weekend - Diane Young.mp3,party
376,Capital Cities - Safe And Sound.mp3,exercise
377,Two Door Cinema Club - Undercover Martyn.mp3,exercise
378,Young the Giant - My Body.mp3,exercise
379,Snow Patrol - Called out in the dark.mp3,exercise
380,Passion Pit - Dreams.mp3,exercise
382,Grouplove - Shark Attack.mp3,exercise
383,Foster the people - Houdini.mp3,exercise
384,Tiesto - Wasted.mp3,exercise
601,2 Chainz We Own It ft. Wiz Khalifa.mp3,exercise
604,Bruno Mars - 24K Magic.mp3,exercise
606,David Guetta ft. Zara Larsson - This Ones For You.mp3,exercise
608,EMINEM - lose yourself.mp3,exercise
609,Eminem - Till I Collapse.mp3,exercise
610,Eminem - You Dont Know.mp3,exercise
612,Kanye West - POWER.mp3,exercise
613,Knife Party - Bonfire.mp3,exercise
614,Major Lazer - Light It Up.mp3,exercise
615,One Direction - Drag Me Down.mp3,exercise
617,Fort Minor - Red to Black.mp3,exercise
618,Fort Minor - Remember The Name.mp3,exercise
619,SAIL - AWOLNATION.mp3,exercise
620,Sia - The Greatest.mp3,exercise
621,The Chainsmokers - Closer.mp3,exercise
622,The Chainsmokers - Setting Fires.mp3,exercise
623,The Weeknd - Starboy.mp3,exercise
512,Reflections - Misterwives,exercise
568,John Mayer - Wildfire.mp3,exercise
569,Walk the moon - Tightrope.mp3,exercise
570,David Guetta - Titanium.mp3,exercise
571,Ellie Goulding - Burn.mp3,exercise
572,Gwen Stefani - Hollaback Girl.mp3,exercise
573,OutKast - Hey Ya!.mp3,exercise
574,P!nk - So What.mp3,exercise
575,Vampire Weekend - Horchata.mp3,exercise
577,Bruno Mars - Uptown Funk.mp3,exercise
579,Justin Timberlake - Can't stop the feeling.mp3,exercise
580,Alan Walker - Alone.mp3,exercise
581,Walk the moon - Work this body.mp3,exercise
583,KONGOS - Come With Me Now.mp3,exercise
584,Jain - Come.mp3,exercise
585,The Strokes - Under Cover of Darkness.mp3,exercise
586,Lost Frequencies - All or Nothing.mp3,exercise
587,Life of Dillon - Rocks.mp3,exercise
588,Kings of Leon - Sex on Fire.mp3,exercise
590,Deorro - Goin Up.mp3,exercise
591,Calvin Harris - My Way.mp3,exercise
593,Robbie Williams - Rock DJ.mp3,exercise
595,Craig David - Ain't Giving Up.mp3,exercise
596,Meghan Trainer - Me Too.mp3,exercise
599,Steve Aoki - Just Hold On.mp3,exercise
600,Train - Drive By.mp3,exercise
385,Sufjan Stevens - The Dress Looks Nice On You.mp3,focused
386,Kygo - For What Its Worth.mp3,focused
387,Hozier - In a Week.mp3,focused
388,Lucy Rose - Shiver.mp3,focused
390,RY X - Berlin.mp3,focused
392,Klyne - Water Flow.mp3,focused
448,Adele - Hello.mp3,daily
449,Adele - When We Were Young.mp3,daily
450,Alessia Cara - How Far Ill Go.mp3,daily
451,Calum Scott - Dancing On My Own.mp3,daily
452,Cam - Burning House.mp3,daily
453,Charlie Puth - One Call Away.mp3,daily
455,Ed Sheeran - Castle On The Hill.mp3,daily
456,Ed Sheeran - Shape of You.mp3,daily
457,Ed Sheeran - Thinking Out Loud.mp3,daily
458,James Arthur - Say You Wont Let Go.mp3,daily
459,Joel Adams - Please Dont Go.mp3,daily
460,John Mayer - Love On The Weekend.mp3,daily
461,Justin Bieber - Sorry.mp3,daily
462,Kings Of Leon - WALLS.mp3,daily
464,LP - Lost On You.mp3,daily
465,Lukas Graham - 7 Years,daily
467,Ruth B - Lost Boy.mp3,daily
470,Sia - Unstoppable.mp3,daily
471,SOLANGE - CRANES IN THE SKY,daily
472,The Lumineers - Ophelia.mp3,daily
475,Harry Nilsson - Without You.mp3,daily
478,Pink Floyd - Wish You Were Here.mp3,daily
479,Sade - By Your Side.mp3,daily
480,Rain At Night - Oh So Quiet.mp3,daily
481,Iron & Wine - Each Coming Night.mp3,daily
482,J. Tillman - Love No less worthy.mp3,daily
483,Band of Horses - No One's gonna love you.mp3,daily
484,Jeff Buckley - Morning Theft.mp3,daily
485,Phosphorecent - Song for Zula.mp3,daily
487,"Jack Johnson - Sitting, Waiting, Wishing.mp3",daily
488,Vampire Weekend - Cape Cod Kwassa Kwassa.mp3,daily
489,John Mayer - Queen of California.mp3,daily
490,Lana Del Rey - West Coast.mp3,daily
493,The xx - On Hold.mp3,daily
494,Wingtip - Rewind.mp3,daily
495,Kita Alexander - Plain Sight.mp3,daily
497,Niykee Heaton - Bad Intentions.mp3,daily
498,Massive Attack - Teardrop.mp3,daily
500,Theia - Roam.mp3,daily
501,Marissa Nadler - Leave the Light On.mp3,daily
502,Carly Rae Jepsen - Call Me Maybe.mp3,daily
503,Fun. - We Are Young.mp3,daily
504,Journey - Don't Stop Believin'.mp3,daily
506,3 Doors Down - Here Without You.mp3,daily
507,ABBA - The Winner Takes It All.mp3,daily
509,Coldplay - Fix You.mp3,daily
510,Coldplay - The Scientist.mp3,daily
511,Timbaland - Apologize.mp3,daily
513,Aaron Smith - Dancin.mp3,daily
514,Asaf Avidan - One day Reckoning Song.mp3,daily
515,Daft Punk - Giorgio by Moroder.mp3,daily
516,Daft Punk - Within.mp3,daily
518,Ed Sheeran - No Diggity vs. Thrift Shop.mp3,daily
519,Ella Eyre - We Don't Have To Take Our Clothes Off.mp3,daily
520,Felix Jaehn - Ain't Nobody.mp3,daily
522,John Legend - All Of Me.mp3,daily
523,Justin Timberlake - Suit & Tie.mp3,daily
526,Mark Ronson - Uptown Funk.mp3,daily
527,Olly Murs - Wrapped Up.mp3,daily
529,Smash Mouth - All Star.mp3,daily
530,One Direction - Steal My Girl.mp3,daily
531,Taylor Swift - Blank Space.mp3,daily
532,The Fray - You Found Me.mp3,daily
533,Tom Odell - Another Love.mp3,daily
535,Vance Joy - Riptide.mp3,daily
536,Victoria Magda - Pumped Up Kicks.mp3,daily
537,Rihanna - Disturbia.mp3,daily
540,Sia - Breathe Me.mp3,daily
541,Death Cab For Cutie - Transatlanticism.mp3,daily
542,Ed Sheeran - Lego House.mp3,daily
543,Ed Sheeran - The A Team.mp3,daily
544,Greg Holden -  Boys in the Street.mp3,daily
545,John Lennon - Imagine.mp3,daily
546,Red Hot Chili Peppers - Otherside.mp3,daily
549,Sam Smith - Lay Me Down.mp3,daily
550,Sam Smith - Stay With Me.mp3,daily
551,Bon Iver - Holoscene.mp3,daily
552,Billie Marten - Heavy Weather.mp3,daily
554,Fionn Regan - Meetings of the Waters.mp3,daily
555,The National - I Need My Girl.mp3,daily
558,The Suitcase Junket - The Rain.mp3,daily
560,Ella Vos - White Noise.mp3,daily
561,Rihanna - Love on the brain.mp3,daily
562,Kiiara - Feels.mp3,daily
563,The Weeknd - The Morning.mp3,daily
564,Daughter - Smother.mp3,daily
565,The Staves - Mexico.mp3,daily
566,Jesse Hale Moore  - Calling You Out.mp3,daily
